V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,SawSurvey,State,Gender,i01p1_1_TEXT,dt01p1_1_TEXT,i02p2_1_TEXT,dt02p1_1_TEXT,i03p3_1_TEXT,dt03p1_1_TEXT,i04p4_1_TEXT,dp01p1_1_TEXT,i05p5_1_TEXT,dp02p1_1_TEXT,i06p6_1_TEXT,dp03p1_1_TEXT,i07p7_1_TEXT,dp04p1_1_TEXT,i08p8_1_TEXT,dp05p1_1_TEXT,i09p9_1_TEXT,dp06p1_1_TEXT,i10p10_1_TEXT,dp07p1_1_TEXT,i11p11_1_TEXT,dp08p1_1_TEXT,i12p12_1_TEXT,dp09p1_1_TEXT,i13p13_1_TEXT,dt01p2_1_TEXT,i14p14_1_TEXT,dt02p2_1_TEXT,i15p15_1_TEXT,dt03p2_1_TEXT,i16p16_1_TEXT,dp01p2_1_TEXT,i17p17_1_TEXT,dp02p2_1_TEXT,i18p18_1_TEXT,dp03p2_1_TEXT,i19p19_1_TEXT,dp04p2_1_TEXT,i20p20_1_TEXT,dp05p2_1_TEXT,i21p21_1_TEXT,dp06p2_1_TEXT,i22p22_1_TEXT,dp07p2_1_TEXT,i23p23_1_TEXT,dp08p2_1_TEXT,i24p24_1_TEXT,dp09p2_1_TEXT,i25p25_1_TEXT,dt01p3_1_TEXT,i26p26_1_TEXT,dt02p3_1_TEXT,i27p27_1_TEXT,dt03p3_1_TEXT,i28p28_1_TEXT,dp01p3_1_TEXT,i29p29_1_TEXT,dp02p3_1_TEXT,i30p30_1_TEXT,dp03p3_1_TEXT,i31p31_1_TEXT,dp04p3_1_TEXT,i32p32_1_TEXT,dp05p3_1_TEXT,i33p33_1_TEXT,dp06p3_1_TEXT,i34p34_1_TEXT,dp07p3_1_TEXT,i35p35_1_TEXT,dp08p3_1_TEXT,i36p36_1_TEXT,dp09p3_1_TEXT,LocationLatitude,LocationLongitude,LocationAccuracy,
ResponseID,ResponseSet,Name,ExternalDataReference,EmailAddress,IPAddress,Status,StartDate,EndDate,Finished,SawSurvey,State,Gender, -The baby is , -The man showed, -The man is , -The boy handed, -The child is , -The girl offered, -The man is , -The girl gave, -The man is , -The boy threw, -The girl is , -The boy passed, -The man is , -The mayor awarded, -The woman is , -The waitress brought, -The lady is , -The salesman sold, -The dog is , -The girl sent, -The man is , -The boy wrote, -The uncle is , -The man paid, -The boy is , -The cowboy showed, -The lady is , -The girl handed, -The mechanic is , -The maid offered, -The beggar is , -The nurse gave, -The man is , -The woman threw, -The woman is , -The husband passed, -The chick is , -The principal awarded, -The backpacker is , -The waitress brought, -The girl is , -The man sold, -The couple is , -The girl sent, -The boy is , -The queen wrote, -The girl is , -The boss paid, -The man is , -The woman showed, -The woman is , -The girl handed, -The girl is , -The boy offered, -The kid is , -The man gave, -The dog is , -The zookeeper threw, -The man is , -The painter passed, -The boy is , -The teacher awarded, -The girl is, -The boy brought, -The man is , -The woman sold, -The man is , -The boy sent, -The boy is , -The girl wrote, -The secretary is , -The man paid,LocationLatitude,LocationLongitude,LocationAccuracy,
R_egSJnMa451f6jBz,Default Response Set,Anonymous,,,182.227.81.30,0,2014-09-27 11:40:54,2014-09-27 11:59:08,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,slipping by a banana,a one-piece to the man,surfing,a brush to the painter,singing,his heart to the girl,hiding behind the curtain,his daughter a present,waving its tail,a banana to the monkey,taking a shower,a hammer to the carpenter,waving his hand,the student ,going to sit on the chair,a pencil to his mom,feeling sultry,a T-Shirt,whistling,a love letter to a gril,winking,a fan letter,typing a document,for the taxi driver,37.598495483398,126.97830200195,-1,
R_3WWJYiR1m6Xl5wF,Default Response Set,Anonymous,,,210.57.229.100,0,2014-09-27 11:47:46,2014-09-27 12:26:19,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,caughing hard,a hat to a clown,tanning her body under the sun,a letter 'K' to the boy so that he could put it in the right place,holding an electric drill,some drinks to the visitors,begging for money,a pill to her patient,fencing,a bone to play with her dog,fishing barefoot,a cup carefully to his wife,just born,a little girl,trying to hitchhike,a pizza to a man who is sitting alone,hopping with a funny frog,a hot dog to a girl,having a great time in a boat floating a river,a mail to her mom ,rollerskating,an invitation to her daughter,looking somewhere languidly with folded her legs,5000 dollars to his employee,,,,,,,,,,,,,,,,,,,,,,,,,37.598495483398,126.97830200195,-1,
R_1Kx6SnYDfoxIChR,Default Response Set,Anonymous,,,222.237.50.62,0,2014-10-15 22:09:38,2014-10-15 22:17:17,1,1,,,crawling,the judge the proof,doing some fire,the guitar to the singer,crying,flower to the teacher,slipping down,a bunch of flowers to her teacher,sitting on the bench,a baseball to a girl,sucking her finger watching the cake,water to the girl,skiing,a gold prize to the winner,smiling with ominous eyes,the menu to the gentleman,coughing,the car by $2990,barking,a letter to her friend,boxer,text message to his girlfriend,clapping,five dollar for a gas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.598495483398,126.97830200195,-1,
R_eL3kDACd4E7Jcax,Default Response Set,Anonymous,,,,1,2014-10-21 00:30:46,2014-10-21 00:44:32,1,1,,,lying down,a gun to a man who sit on a chair wearing a gorgeous clothes looks president,making a fire next to a tent in a forest ,a guitar to a man singing a song,crying,some flowers to a teacher who looks so happy,falling down on a ladder,flowers to a gentleman,sitting on a bench and staring somewhere else,a baseball to a girl,smiling but she looks so shy,the big bottle to a girl who sitting on the other side on the table,skiing,to a man who won,smiling at me,menu plate to a gentleman sitting on the table,coughing,a car to a guy looks farmer at 2990$,barking,a mail to a girl,standing with boxing gloves,text message with his cell phone to a girl who looks like his girl friend,clapping,money to a man in a gas station,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.570007324219,126.98001098633,-1,
R_eWf8RFxVmL3nzxz,Default Response Set,Anonymous,,,,1,2014-10-21 02:28:55,2014-10-21 02:42:29,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,sick.,his hat to crown.,lying at the beach.,chalk.,drilling.,beverage.,begging,phils.,playing pesing.,born to dog.,fishing.,glass to his wife.,getting out of egg.,little girl.,hichhiking,pizza.,jumping likes frog.,hotdog.,sailing.,mail to mom.,skating.,mail to princess.,knee,pee.,,,,,,,,,,,,,,,,,,,,,,,,,37.570007324219,126.98001098633,-1,
R_a3OyH78VwQ7WK7X,Default Response Set,Anonymous,,,,1,2014-10-21 03:43:37,2014-10-21 04:04:56,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,slip step on banana.,her new one-piece.,surf on wave.,big brush to him.,song.,,hide behind curtain.,a small present to girl.,wag tail.,banana to monkey.,shower in bathroom.,,salute.,to his student.,ready to sit on chair.,,perspire. because strong sunshine.,a t-shirt him.,whistle.,love letter to him lovers.,smile and wink.,ryric.,typing keyboard.,taxi fee.,37.570007324219,126.98001098633,-1,
R_5d2agQT3TLs3RPf,Default Response Set,Anonymous,,,,1,2014-10-21 03:55:21,2014-10-21 04:07:33,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,coughing,the hat to the circus,tenning ,something to her friend,a gun to drill,alcohol to the people,beggering the money,medicine to her patient,fencing,the bone to the dog,fishing,the glasses to his wife,hatching the egg,the prize to the winner,happy on his way,the pizza,jumping like a frog,many hot dogs,lying in the boat,the mail to her best friend,happy to ride inline skate,a message for her daughter,disappointed,5000won for the present,,,,,,,,,,,,,,,,,,,,,,,,,37.570007324219,126.98001098633,-1,
R_bdynFGPIAwEjz7v,Default Response Set,Anonymous,,,,1,2014-10-21 10:47:20,2014-10-21 11:12:16,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,slipping,the dress,surfing in the ocean,the brush to him,singing,a love letter to the girl ,hiding behind the curtain,her a gift,exciting,a banana to the monkey,taking a shower,a hammer to the carpenter,waving his hand,the student,standing in front of the chair,the pencil,sweating,the T-shirt,singing,the mail to his girlfriend,winking his eye,the letter ,using a typewriter ,taxi fare,37.570007324219,126.98001098633,-1,
R_0eqIhXY3cZE5Fe5,Default Response Set,Anonymous,,,,1,2014-10-22 03:55:05,2014-10-22 04:07:40,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,slide,a one-piece dress,good surfer,a brush,singing,love,hide,present,wag its tail,the banana,take a bath,a hammer,wave his hand,a prize,rise up,pen,sweat,a shirt,a whistle,love leatter,a wink,to star who is she like,good typewriter,a fare,37.570007324219,126.98001098633,-1,
